'ALLO	ɑɫoʊ
'APOSTROPHE	əpɑstɹəfi
'BOUT	baʊt
'CAUSE	kəz
'COURSE	kɔrs
'CUSE	kjuz
'EM	əm
'FRISCO	fɹɪskoʊ
'GAIN	ɡɛn
'KAY	keɪ
'M	əm
'N	ən
'QUOTE	kwoʊt
'ROUND	ɹaʊnd
'S	ɛs
'TIL	tɪɫ
'TIS	tɪz
'TWAS	twʌz
A	ə
A'S	eɪz
AA	eɪeɪ
AAA	tɹɪpəɫeɪ
AABERG	ɑbɝɡ
AACHEN	ɑkən
AACHENER	ɑkənɝ
AAH	ɑ
AAKER	ɑkɝ
AALIYAH	ɑɫiɑ
AALSETH	ɑɫsɛθ
AAMODT	ɑmət
AANCOR	ɑnkɔr
AARDEMA	ɑrdɛmə
AARDVARK	ɑrdvɑrk
AARDVARKS	ɑrdvɑrks
AARGH	ɑrɡ
AARON	ɛrən
AARON'S	ɛrənz
AARONS	ɛrənz
AARONSON	ɛrənsən
AARONSON'S	ɛrənsənz
AARTI	ɑrti
AASE	ɑs
AASEN	ɑsən
AB	æb
ABA	eɪbieɪ
ABABA	əbɑbə
ABACHA	æbəkə
ABACK	əbæk
ABACO	æbəkoʊ
ABACUS	æbəkəs
ABAD	əbɑd
ABADAKA	əbædəkə
ABADI	əbædi
ABADIE	əbædi
ABAIR	əbɛr
ABALKIN	əbɑɫkɪn
ABALONE	æbəɫoʊni
ABALONES	æbəɫoʊniz
ABALOS	ɑbɑɫoʊz
ABANDON	əbændən
ABANDONED	əbændənd
ABANDONING	əbændənɪŋ
ABANDONMENT	əbændənmənt
ABANDONMENTS	əbændənmənts
ABANDONS	əbændənz
ABANTO	əbæntoʊ
ABARCA	əbɑrkə
ABARE	ɑbɑri
ABASCAL	æbəskəɫ
ABASH	əbæʃ
ABASHED	əbæʃt
ABASIA	əbeɪʒjə
ABATE	əbeɪt
ABATED	əbeɪtɪd
ABATEMENT	əbeɪtmənt
ABATEMENTS	əbeɪtmənts
ABATES	əbeɪts
ABATING	əbeɪtɪŋ
ABBA	æbə
ABBADO	əbɑdoʊ
ABBAS	əbɑs
ABBASI	ɑbɑsi
ABBATE	ɑbeɪt
ABBATIELLO	ɑbɑtiɛɫoʊ
ABBE	æbi
ABBENHAUS	æbənhaʊs
ABBETT	əbɛt
ABBEVILLE	æbvɪɫ
ABBEY	æbi
ABBEY'S	æbiz
ABBIE	æbi
ABBITT	æbɪt
ABBOT	æbət
ABBOTSTOWN	æbətstaʊn
ABBOTT	æbət
ABBOTT'S	æbəts
ABBOTTSTOWN	æbətstaʊn
ABBOUD	əbud
ABBREVIATE	əbɹivieɪt
ABBREVIATED	əbɹivieɪtɪd
ABBREVIATES	əbɹivieɪts
ABBREVIATING	əbɹivieɪtɪŋ
ABBREVIATION	əbɹivieɪʃən
ABBREVIATIONS	əbɹivieɪʃənz
ABBRUZZESE	ɑbɹutseɪzi
ABBS	æbz
ABBY	æbi
ABC	eɪbisi
ABC'S	eɪbisiz
ABCO	æbkoʊ
